첵제목,작가명,내용요약
문화재사랑 통권 제126호(2015년 05월),,"4년동안 퓨전 음악 활동을하며 판소리의 소중함을 깨달은 민은경은 30세에 국립창극단 인턴이 되어 기본인 창 능력을 가다듬고 동시에 지난 경험을 통해 배운 대중코드 읽는 법, 풍성한 표현법 등을 더해 정식 단원에 뽑혔다."
국제노동브리프 2015년 6월호(Vol.13. No.6),,데이비드 카메론 총리는 리보 금리를 조작한 독일 도이체방크에 벌금을 부과하여 이를 통해 약 5만 명의 견습생 일자리를 창출하는 데에 쓸 것이라고 발표했다.
부패의 사회적 원인에 대한 국가 간 비교 연구 : 범죄사회학적 관점에서,,세계 가치관 조사는 1981년부터 2007년까지 각각 3~6년에 걸쳐 18~57개국에서 수행 되었고 이 논문에서는 5차 자료(2005-2007)를 사용한다. 종속변수인 CPI는 2008년 자료를 사용했다.
박사인력활동조사의 개선과 활용,,"그동안 우리나라의 ICT 사업은 공공, 민간 부문 구분 없이 협업을 꾸준히 시도해 왔다. 단독 부처나 단독 주체가 하기는 어렵다는 인식이 있었기 때문이다."
자원순환형사회를 위한 법체계 정비 방안 연구,,"생산자책임제도와 맥이 같은 오염자책임의 원칙은 원인 제공자에게 환경오염의 방지, 제거, 손해에 대한 책임을 지게 하는 원칙이다. 원래는 행위자가 책임을 지는 것이었으나 이럴 경우 행위자의 책임이 너무 방대해지기에 원인제공자가 책임을 지는 방식이 되었다. 오염자책임은 제조를 하면서 발생하는 대기오염, 수질오염 등이 주 이슈이다."
세탁소 VOCs 관리현황 고찰 및 정책제언 (Study on the Enhancement of VOCs Management at Laundry Facilities in Korea),"김재혁, 유경선","현행 세탁소 VOCs 시설관리기준으로는 산업용 세탁소만 관리할 수 있고, VOCs 총배출량의 약 97%에 해당하는 생활밀착형인 가정용 세탁소에 대해서는 관리할 수 없는 상황이다. 따라서 세탁소 VOCs 저감을 위한 가장 적극적이고 능동적인 관리 방안은 관리대상에 가정용 세탁소를 포함시키는 것이다. 다만 소규모 영세 세탁소 규제에 대한 사회적 반발과 입지규제 적용에 따른 문제 해결 방안을 함께 모색해야 한다."
글로벌에너지협력외교 저널,,"2009년 이후 북미셰일혁명이 가시화 되면서 국제적 LNG시장에 큰 변화가 예측되었는데, 이는 중동 의존도가 낮아지고 북미LNG가 도입될 것이라는 전망이었지만 예측과는 다르게 흘러가고 있어 대응이 필요하다."
혁신 클러스터 성공요인과 해외사례,,"민간의 자생적  협력 네크워크 구축을 지향하는 클러스터 정책은 통상적 정책들에 비해 기업가정신 및 역량 배양에 효과적이다. 연구에 따르면, 클러스터 소재 기업들은 보다 혁신적이고, 높은 임금과 생산성이 나타나며 신생기업의 생존율도 더 높은 것으로 나타난다."
성적 목적을 위한 공공장소 침입행위 관련 ｢성폭력 범죄의 처벌 등에 관한 특례법｣ 제12조 개정 검토,,"윤호중 의원의 성퐁력처벌법 개정안의 주요내용은 현행법상으로는 처벌하기 힘든 공공 장소에서의 변태적 행동을 처벌하자는 내용이다. 따라서,  제11조의2에 ‘성적 호기심에 의한 공공장소 침입행위’를 만들어서 공공 장소에서의 변태적 범죄를 처벌하자는 내용이다."
어린이집 설치 기준 개선을 위한 실태 조사,김은설,"비상재해대비시설로서 단독경보형감지기를 이미 설치한 비율은 약 71%이다. 시설설립유형을 기준으로 살펴보니, 도시지역이고 사업장의 규모가 클수록 설치율이 높은 것으로 드러났다."
초저출산현상 지속의 원인과 정책과제,,독일을 선정한 배경은 초저출산현상을 경험하였으며 최근 이 문제에서 벗어났다. 이와 더불어 독일은 전통적인 가톨릭 보수주의 성향이 우리나라 가부장제와 비슷하였고 과거 동독과 서독의 분단이 영향을 미쳤다는점이다. 문제의 고찰은 시사하는 바가 클것이다.
실질과세원칙의 적용을 통한 관세법상 구매자와 판매자 확정에 대한 연구,강정모,조세심판원은 청구인이 장부상의 제품값에 있어 실제 수입가격으로 판단하여 수입신고하여 과세가격 차액에 대해 관세를 과세한 건의 처분은 잘못이 없다 판단했다. 
2015년 국가연구개발사업 특정평가보고서 golden seed 프로젝트 사업,한국과학기술기획평가원,"골든씨드 개발지원을 사업추진전략으로 제시하나, 수행 현황에 수출과 수입대체 지향 목표가 혼재되어, 지원에 필요한 기능이 원활히 동작하지 못하는 경우가 예상된다."
북한의 탄도미사일 위협과 한국의 대응체제 발전방향,,앨빈 토플러의 저서 전쟁과 반전쟁에서 언급한 바와 같이 전쟁양상은 21세기를 지나며 빠르고 복잡하게 변화하고 있고 이는 걸프전을 비롯한 이후의 전쟁에서 확인되었다. 미군은 공지전투를 적용해 후세인을 무력화 시켰으며 이후의 전투에서 특수전력을 투입하거나 지･해･공 전력의 합동공격으로 적을 무력화시켰다.
디자인보호법 이론과 판례(제2판),,디자인등록은 잠재적인 독점권이라고 할 수 있는데 모니트레이 제품이 아직 특허가 되지 않았더라도 디자이너A는 모방하는 사람에게 경고할 수 있는 권리와 소정의 보상금을 청구할 수 있어 민형사상 조취를 취할 수 있는 무기를 갖게 되는 것이다.
FAO GIAHS(세계중요농업유산) 등재 신청 사례,,"푸얼차는 '큰 잎' 종 이름을 차용한 것이다. 명과 청나라 이후 푸얼지역은 차 시장의 중심지였다. 현재에는 푸얼지역에서 가공과정을 진행하며, 이 곳의 차를 푸얼이라고 한다. 현재는 란창강 중하부 지역에서 생산하고 있다. "
방송영상콘텐츠의 다문화 수용성 제고 안내서,문화체육관광부,여성 탈북자들의 남한 정착 과정 경험담을 중심 소재로 다루는 토크쇼 프로그램인데 여성성을 강조하고 자극적 주제로 북한 사회의 왜곡된 면을 강조한다.
예산과정의 지출검토제도(spending review) 도입 방안 연구,탁현우,"기획재정부와 일선 부처 사이의 정보 비대칭성으로 조정에 있어 합리성 확보에 어려움이 발생할 수 있으며, 기획재정부의 재정 예측 능력이 얼마나 정확한가도 중요한 요인이 될 수 있다."
"육아정책포럼 : 2018 봄, Vol.55",,"한국, 일본, 대만, 미국, 핀란드 영유아의 평일 기상시각을 조사한 결과 일본, 미국, 핀란드는 7시 30분 이전에 일어나는 비율이 70%를 넘고, 한국은 8시 이후에 일어나는 비율이 50% 이상이다."
대한민국예술원 발전전략 수립을 위한 기초연구,,원로 예술인에 대한 예우는 높아진 문화예술의 위상에 미치지 못한다. 국외 사례를 참고하여 원로 예술인의 경제적 지원을 비롯하여 사후 예우 구축에 이르기까지 종합적인 검토와 지원으로 긍정적 효과를 얻을 수 있다.
한국문화예술위원회 기획형 해외레지던스 참가후기(2013~2016),한국문화예술위원회,해외 작가들은 4명 단위로 3개월씩 운영되고 있었고 이 기간 동안 새 작업을 실행하기 위해선 사전 계획이 꼭 필요할 것으로 보입니다. 스튜디오 내에서 주로 작업하는 작가들보단 런던이란 도시를 재료로 작업하는 작가들에게 가스웍스가 적합하다고 판단됩니다.
혁신 클러스터 성공요인과 해외사례,,"ARB와 사업 파트너인 일본 수입업자는 기존 동업자에게 바나나 품질의 불만 제기와 포장과정의 향상을 요구했다. 클러스트 팀의 일본 판매시장 분석은 이어졌고, JICA는 지원했다."
2019년 조세특례 임의심층평가,기획재정부,다단계구성의 정책목표는 전반적 효과수긍이 어려워 전자상거래시장 활성화만으로 석유제품 시장의 문제들을 단번에 해결함은 어렵고 또 틴버겐 정리에 위배된다. 다단계 정책목표는 부실한 가정들에서 정책목표 달성의 논리정합성이 부족하다.
녹색성장 및 에너지안보 관련 에너지산업의 대중국 진출전략,,중국은 우리나라와 동반 성장을 희망한다고 언급하였고 협력가능성에 대해서 다수의 가능성을 제시하고 있는 상황이므로 이러한 중국 NOC들과 협력이 순조롭게 진행되기 위해서는 협력 필요성의 공감대 형성과 모멘텀 마련이 필요하다.
지역 관광자원 개발방향 연구Ⅰ: 현황 분석편,,"관광개발 정책은 관광개발요소들의 작동을 지원하고 경쟁력을 강화한다는 목적이 있다. 제3차 관광개발 기본계획에서는 공공, 민간, 시설, 프로그램까지 정책영역을 확장시킨다."
누구의 책무성인가? 인권과 Post-2015 개발의제,,MDG와 세부목표는 여러 측면에서 국제인권기준과 부합하지 않는 방식으로 작성되었다. 주요한 인권적 사안에 대해 무시하고 있으며 핵심적인 빈곤 징후들을 놓치고 있다.
기술위험과 기술혁신의 공진화 관계 속에서 본 기술위험관리의 필요성과 논점,서지영,"기술영향평가는 경제, 문화, 생태적 환경 등 여러 측면에서 기술이 인간에게 미치는 전반적 영향 파악 및 부정적 영향의 선제적 대비를 위해 시행된다. 우리나라의 기술영향평가는 행정부 산하기관에 의해 이뤄지고 있으나 미국과 유럽의 ELSI 연구와 같은 다양한 형태의 기술영향평가가 필요한 상태이다."
정부업무평가제도의 운영효과에 관한 연구,,"환경부의 조직성과점수가 매우 높은 비중으로 인사고과를 좌우한다는 점에서, 최소한 부서 내부에서 개인 간의 경쟁보다는 협력을 유도할 수 있을 것으로 판단된다."
한국의 세기 뛰어넘기,권태준 지음,대내외적 위기 속에서 국가는 재정적 합리성을 통해 시장의 자율성에 개입해야 했다. 이는 자유 민주국가에서 국가의 효율적 재정 집행이 그 정책의 정당성이 되었기 때문이다.
KDI 북한경제리뷰 2015년 1월,,올해 북한의 대외무역은 부정적 측면이 더욱 많을 것이다. 올해에는 중국의 경제성장률은 지난해에 비해 떨어질 것이다. 이러한 예상은 북한 자원에 대한 중국의 수요도 더욱 침체할 것이라는 뜻이므로 지난해 우리가 북중무역에서 보았던 부정적 현상이 올해에는 더욱 증폭되어 나타날 가능성이 크다. 따라서  대외무역에서의 움직임을 기준으로 북한경제를 전망한다면 긍정적이지만은 않을 것이다. 
"한국형 중견국 공공외교: 자유주의적, 구성주의적 접근",,"통신 기술의 발전은 대화형 공공외교 양식도 발전시켰다. 대화형 공공외교는 상호 정보 교환에 중점을 둔다. 대화형 공공외교는 공공외교의 주체와 객체 간에 아이디어, 정보의 교환과 더불어 상호적이고 다각적인 커뮤니케이션이 이루어졌다."
(자치경찰제 도입 대토론회) 자치경찰제 도입원칙과 바람직한 정책방향,자치분권위원회,경찰 비대화도 고려해야 하지만 수사권조정과 자치경찰제의 연계가 필수는 아니다. 오히려 경찰의 민주적 재설계와 자치경찰제를 추진해야 한다. 수사권조정의 적정수준 도달이 경찰의 적극적 참여를 도울 것이다.
열림과 닫힘,정진홍 지음,수많은 종교들은 제각기 전통적인 개념의 틀안에 자신들을 현존시키고 있습니다. 즉 그들만의 '종교인의 세계'안에 있게 되는 것입니다. 자신들의 개념이 빚은 그 범주 안에서 그들은 비로소 인간입니다.
4차 산업혁명 시대에서 정보인권 보호를 위한 실태조사,,개인정보보호법은 공공기관이 보유 중인 개인정보 파일을 행정안전부에 등록하도록 하고 있는데 정보수사기관이 보유한 파일은 등록 예외이기 때문에 제대로 감독할 수 있는 시스템이 부재하다.
일본 애니메이션 산업 현황과 한 · 일 공동제작 모델 연구,김혜준,"일본 애니메이션은 세계시장에서 경쟁력을 확보하고 있으며, 일본의 제작역량을 벤치마킹하기 위해서는 일본 인력의 고용, 다양한 형태의 한일 공동제작 과정을 통한 국내 인력의 참여 기회 확대 등 여러 가지 학습방안이 필요하다."
2015년 꿈키움 멘토단 운영 담당자 연수,,"천안 학교 내에 검찰·법무부가 함께 법사랑 희망 그룹홈을 만들어 법사랑위원들이 주일 방문 상담을 실시했고, 이는 학생들의 결핍욕구를 채우며 학업에 충실하게 하는 원동력이 됐다."
저출산 대책의 효과성 평가,이상협,"시군구별 출산장려 정책과 연관된 변수와 복지예산 비율, 인구 대비 지방세액은 유배우 출산율에만 긍정적인 영향을 끼쳤다. 또한 전세 가격이 상승하면 유배우 출산율은 높아지고 무배우 혼인율은 낮아지는 것으로 나타났다. 이는 유배우 출산율과 무배우 혼인율을 결정하는 요인이 같지 않을 수 있다는 가능성을 내포하고 있다."
저출산 대책의 효과성 평가,이상협,"힙리적 의사결정 모델에 따르면 자녀의 양육비용 감소나 부모의 소득 증가에 관한 정책은 자녀의 수요를 증가시켜, 출산장려 정책이 출산율 제고 효과를 지녀야 한다고 간주하나 Gauthier는 다음과 같이 반론한다."
과학기술정책 통권 199호,,"본 컨퍼런스는 대학생 차원에서는 만들기 쉽지 않은 지식 공유의 기회를 제공합니다. 일방향적인 강연에서 머무르지 않고 학생들과 석학들과의 직접 대화나 멘토링, 학생 토론과 같은 쌍방향 네트워킹을 지원함으로써 다른 대학생 컨퍼런스보다 전문성을 가지고 있는 것이 ICISTS-KAIST의 특징입니다."
영국의 기업과실치사법에 대한 고찰과 시사점,,기업과실치사죄가 만들어지기 전에는 살인죄가 인정된 기업은 기업내 과실을 가진 종업원과 소규모 영세기업뿐이었다. 영국은 기업살인죄를 제안했고 기업의 관리상 과실이 타인의 사망의 원인일때와 과실에 대한 행위가 기업에 대해 기대가능한 정도에 미치지 못할때 기업살인죄라고 규정했다.
2013년도 통상백서,산업통상자원부,"통상 업무가 외교부에서 산업부로 이관되면서 관계부처 참석대상을 격상하고 FTA 추진위원회를 통상추진위원회로 확대 개편하였다. 특히 중소기업의 글로벌 시장 진출 등을 지원하고, 지재권 등 비관세 분야에도 효율적으로 대응할 수 있는 체제를 구축했다."
지역 관광자원 개발방향 연구Ⅰ: 현황 분석편,,"전문가 FGI는 전문지식을 보유한 조사자가 특정한 주제로 토론을 벌여 필요한 정보를 얻는 조사방법이다. 면접법의 결과로 기본정보를 수집할 수 있고, 신제품에 대한 아이디어, 제품 사용에서의 문제점 등을 파악할 수 있다."
선진상사법률연구,이상복,"컴플라이언스 프로그램은 세 영역에서 작동한다.  첫째, 교육이다. 컴플라이언스는 교육에서 시작하며 임원들은 직원들과 효율적인 소통을 해야 한다.  컴플라이언스 교육과 훈련은 직원을 위한 회사의 정책설정이다."
젠더리뷰 2016년 봄호 제40호,,"2016년 총선에서의 여성의 정치적 대표성과 관련한 선거법·제도 발전 방안에 대해 국회의원, 정당, 정치학자, 정치관련 여성단체 등 약 30명을 대상으로 2016년 총선에서의 여성의 정치적 대표성 관련 선거법·제도 발전방안을 전문가 델파이 방식으로 조사하였다."
KDI 북한경제리뷰 2014년 10월,,"김정은 권력승계 과정의 중대한 전환점은 2009년과 2012년이다. 2009년에 제2차 핵실험, 김정은 권력승계, 오바마 정부가 출범했고, 2012년에 제3차 핵실험, 김정은 정권의 출범, 박근혜 대통령 당선되었다. 또한 2009년 후계구도 구축을 위한 권력체계 구축이 본격적으로 시작되었으며 2012년부터 친시장 정책이 시행되었다."
미래 인재 양성을 위한 핵심역량 교육 및 혁신적 학습생태계 구축(Ⅱ),,"GELP 참여국을 대상으로 인터뷰를 할 대상국을 선정하였다. 미국, 호주, 뉴질랜드와 교육 모범국으로 꼽히는 핀란드를 대상국으로 포함했다."
실질과세원칙의 적용을 통한 관세법상 구매자와 판매자 확정에 대한 연구,강정모,학계 및 실무 분야에서 관세법에서 실질과세원칙을 이용할 수 있는 여지가 적다는 비판이 제기되고 있다. 따라서 이를 보완하는 조항이 필수적으로 만들어져야 한다. 
법의부검자료를 기반으로 한 아동학대 사망의 현황과 유형,"김희송, 이봉우, 최영식, 정규희","미국에서는 사망원인을 모르는 아동의 사례를 아동사망사례조사팀에서 담당한다. 아동학대 사망의 진실을 파악하기 위해 여러 나라에서 비슷한 시스템을 운영하고 있다. 보건복지부에 아동학대대응과가 신설된 것은 고무적이나 아동 사망의 현황을 파악하는 일, 제대로 된 통계를 확인하는 것은 간단하지 않다. 별도로 이러한 현황을 정기적으로 진행, 확인할 수 있는 시스템의 확립이 필요하다."
농촌 소규모 보육 및 돌봄시설 운영모델 개선방안 연구,,‘농촌 공동 아이 돌봄센터’ 사업 수요 조사 절차는 기간과 비용을 고려했을 때 가장 효율적인 방법을 선택한 것이다. 무선표집과 전수조사는 아니나 연구 필요성이 큰 지역을 대상으로 하였다.
UNESCO 참여연구 : 한국의 시험문화와 학습자에 대한 영향,서예원,"교사별 평가는 해당 영역과 단원이 끝날 때마다 각 학급을 담당한 교사별로 직접 평가하는 것으로, 반마다 시기를  달리하여 평가할 수 있는 상시평가 체제하에서 가능하다."
2016년 기업의 연구개발투자와 성과 : 2016 과학기술혁신지표연구,,"서울과 경기, 인천이 미국특허등록건수를 차지하는 비율은 압도적일만큼 높다. 한국특허출원건수의 경우 서울의 비중을 늘어나고 있지만, 경기, 인천권은 줄어들고 있다. 동남권과 대경권은 뒤이어 비중을 차지하고 있다."
"한국교육 제42권 제1호, 2015년 4월",,공연 중 코러스는 줄거리 중심에서 벗어나서 작품의 실제 의미를 환기시키고 관객의 변화와 각성을 촉구하는 역할을 한다. 관객과 배우와 등장인물과의 거리를 좁히는 역할을 하고 주제를 부각하거나 의미부여하기도 한다. 대표적인 예가 비극 작품 안티고네에서 합창대가 부르는 코러스이다.
가정폭력처벌법 시행 20주년의 평가 및 향후 과제,박복순,가정보호사건으로 처리하는 현행법 규정을 폐지해야한다. 피해자 보호를 강화하고 가정폭력은 일반 형사사건으로 처리하는 쪽으로 현행 가정폭력처벌법을 개정해야한다. 가정폭력사건을 형사사건보다 경미한 범죄로 치부하는 현실을 바꾸기 위해서는 가정폭력 범죄에 대한 가중처분으로 형벌도 받고 별도로 부가처분을 받을 수 있어야 한다.
남북한관계에 대한 판례 분석 -국가보안법의 최근 변화 동향과 남북교류협력에 관한 판례를 중심으로-,,남북합의서는 헌법 및 남북관계발전 관련 법률규정을 지킬 필요가 있으며 남북한은 이를 잘 이행하도록 노력해야 한다. 헌법재판소와 법원은 남북합의서가 실효적으로 작용할 때 일어난 사건에 대해 법적 효력을 인정할 수 있다. 
"동아시아 문화의 정수, 백제왕도",,쌍릉은 무왕과 왕비의 무덤으로 비정되는 왕릉역이다.  그 위치는 도성의 평면형을 이해하는 중요한 실마리가 된다.
문화·관광 인사이트,김규찬,Pine II & Gilmore는 문화산업이 인간에게 진정한 경험이 되는 순간 사람들이 지갑을 연다는 경험경제의 중요성을 이야기 하였다.
국가직무능력표준(NCS) 기반 학습모듈의 효용성 평가체계 연구,"김지영, 박종성, 김인엽","폴리텍대학은 법인자체 개발 교재와 자율 교재를 활용, 직업훈련기간은 학습모듈을 활용하지만 NCS는 활용하지 않으며 중소규모 학원은 NCS와 학습모듈 모두를 활용하지 않는다. "
2013년 국가수준 학업성취도 평가 결과: 인지적·정의적 특성 및 변화 추이,,학교 설립유형에 따른 학업성취도는 국·공립학교에 비해 사립학교가 높았다. 중학교는 차이가 별로 없고 고등학교는 차이가 상당히 컸는데 이는 향상도 변화 추이에서도 유사했다. 이는 국·공립학교의 학력 위기를 반영하고 있고 향후에도 이 경향이 유지될 가능성이 높음을 예측할 수 있다. 따라서 국·공립 고등학교는 학생들의 학력을 향상시키기 위해 효율적인 교수·학습 프로그램 개발해야 한다.
2017년 10월 농업기술 (통권 617호),,간척 후 시간이 지나면서 농지가 된 간척지에 밭작물 재배를 시도하여 식량수입 대체 효과를 노릴 수 있을 것으로 보인다.
KDI 북한경제리뷰 2015년 1월,,"비공식 경제활동으로 북한경제가 움직인다고 가정했을 때, 이 영향이 공식 경제활동까지 확산되어 2014년 경제가 안정되었고 북한당국 역시 시장 메커니즘을 인정하는 개혁을 구상하고 있기에 북한경제는 활력이 넘친다. "
문화예술계 블랙리스트 진상조사 및 제도개선위원회 백서 4 : 블랙리스트 사태의 총체적 조망,,"<다이빙벨>은 세월호 참사 당시에 논의된 ""다이빙벨을 즉각 투입해야 한다""는 목표를 갖고, 이종인 대표와 이상호 기자의 고군분투와 한계에 이르는 과정을 그들의 시선을 따라 구성한 다큐멘터리로, 사실에 대해 끊임없이 질문을 던짐으로서 사건의 이면을 드러내고자 했다."
열림과 닫힘,정진홍 지음,우리는 종교로부터 우리 자신을 분리시킬 수도 벗어날 수도 없습니다. 종교는 인간의 역사와 문화를 만들어 가고 있는 다양한 요소들 중의 하나이기 때문입니다. 그래서 우리는 이러한 종교를 향해 조심스럽고 진지하게 다가가야 합니다.
발명의 컴퓨터 구현 보호체계 합리화를 위한 특허제도 개선방안 연구,,각국 SW특허 관련 법제도는 SW특허를 인정하며 많은 국가들이 매체에 저장되는 걸 전제하고 응용화 안된 자체로서의 보호는 되도록 배제하지만 각국의 법 견해차는 있다.
추정적 동의와 가정적 동의의 구별과 그 법리전개,윤석찬,의료행위에 있어서 설명의무를 하지 않은 의료행위자가 환자의 동의는 고도의 인격적인 결정은 대체될 수 없는 것이기에 가정적 동의 혹은 승낙은 불인정된다는 것이 독일 학설의 주된 입장이다. 국내의 학설로도 가정적 동의는 의료행위에 있어서 환자의 가정적 동의 혹은승낙이 의료행위자에 의하여 주장되는 경우에는 예외적으로 면책할 수 없다는 입장이다. 피해자의 자기결정권이 중요한 의미를 갖는 경우에는 제한되어야 한다는 견해가 일반적이다.
진실·화해를 위한 과거사정리 기본법에 따른 진실규명결정과 국가배상소송,박준용,"연구대상판결과 유사 사안, 2012다17004호 사건의 위자료 액수는 큰 차이가 없다. 그러나 판결 사안이 유사할 뿐 사건의 성격이나 피해자의 희생경위 등을 볼 때 이 액수가 결정적이라고 보기는 어렵다. 국가배상소송은 개별 사건과 희생자 개인마다 사례별 차이가 있으므로 큰 틀에서 볼 때 유사 사건의 위자료 액수만을 단순 비교하는 것은 바람직하지 않다."
아세안경제공동체 출범에 따른 수산분야 경제협력 방향,정명화,"우리나라는 인도네시아의 원양 어업 등에 투자했고 원양 어업에 쏠렸던 투자는 계속 줄어들다가 2004년부터는 전혀 투자되지 않았는데, 인도네시아에서 외국어선의 조업을 막아서이다. "
동아시아 국제사회조사 참여 및 국제비교연구 : 문화와 세계화,이상림,"학력이 높고 월 평균 가구소득이 높은 집단은 가까운 친척으로 외국인을 맞이하는 데 대해 긍정적으로 인식한 반면, 학력이 낮고 월 평균 가구소득이 낮은 집단은 이에대해 부정적이었다."
문화재사랑 통권 제117호(2014년 08월),,조선의 문인들은 풍류를 즐기는데 있어 녹록치 못한 현실에서 와유로써 산과 물을 그린 그림을 벽에 붙이고 두고 온 전원에 대한 그리움을 달래며 시를 붙이기도 했다.
국내 지속가능경영보고서의 노동/인권 분야에 대한 실태 분석,이정원,지속가능경영보고서의 보고수준의 투명성에 대해 부정론적 입장은 회의적이다. 기업의 사회적 책임 활동이나 보고서 발간은 사회적 요구나 압력을 기업 철학 및 운영에 반영해 지속가능한 성장을 도모한다는 본연의 목적에서 벗어나 기업의 명성 관리나 홍보를 위한 마케팅에 중점을 두고 있다고 간주한다.
국민안전교육 표준실무 : 안전교육의 이론과 실제(상),,"인지 단계는 수행한 활동들에 대한 정보를 더하며 어떤 행동이 안전한지 관해 기본적 사실, 일반적 지식들을 제공하는 단계로, 안전에 관해 바람직한 행위와 잘못된 행위를 구분할 수 있게 한다."
기업과 인권 로드맵 연구,,"UNEPFI는 유엔 환경계획과 세계적 재원간 파트너십의 결과물로 지속적인 재원 증진을 위한 임무로 개시됐다. 200개 이상의 금융기관들이 함께 활동하고 국내적, 국제적 차원에서 이뤄지고 있다."
아동·청소년·가족 보호체계 개선방안 연구,김지연,"아동‧청소년 및 가족 대상 서비스에 대해 포괄보조방식을 적용할 수 있는 사업들을 제시했다. 소규모이고 사업 내용이나 대상이 유사했던 사업들로, 지역마다 자원 확보 편차가 뚜렷해 지자체 재량에 따른 사업 효과성을 확인할 수 있을 것이라 판단했다. "
DNA데이터베이스와 프라이버시권 : 사회안전과 개인정보자기결정권을 중심으로,,유전자 프라이버시 또는 유전자 정보보호는 형사법적 영역에서 기인된 것이 아니다. 미국은 주 유전개인정보보호법상에 유전정보를 포함시켜 기타 의료 개인정보와 동일하게 다루고 있다.
교육광장 2015 봄호 (Vol. 55),,국제교육개발협력의 효율성 제고를 위해 한국형 교육 발전 모형을 만들 필요가 있습니다. 또한 관련 인력을 육성하고 안정적인 컨설팅을 제공해야 합니다. 수원국의 교육 관련 문제를 대신 해결해주기보다는 스스로 문제를 풀어나갈 수 있게 도와주어야 합니다. 
1998년도 금융정보화 추진현황,금융정보화추진분과위원회 사무국,"전자정보교환 제도는 금융기관의 장표 표준화, 업무처리 전산화 등 전산망을 통한 정보이동으로 장표 업무를 처리하는 제도이다. 선진국은 전자정보교환 제도를 시행하고 있지만, 우리나라는 장표 처리 업무가 수작업으로 이루어지고 있어, 업무의 효율성이 낮다. "
직업 및 소득 계층의 세대 간 이전에 관한 연구,,"선행연구는 부모교육과 자녀교육 간에 소득 요소가 존재한다고 판단했다. 때문에 부모의 교육 및 소득 수준을 고려한 분석이 많았다. 안종범 전승훈 역시 그렇게 하였고, 그 결과 자녀의 교육 및 소득 수준과 직간접적 영향이 있다고 설명했다. "
재난 유형별 및 도로 위계별 방재도로 선정 기준 연구,,"캐나다의 재난대응 경로는 재난 시 구호 인력, 장비, 물품을 이동시키는 역할을 한다는 점에서 미국과 같지만 부상자나 고립된 사람들을 구출하는 데에도 쓰이며 표지판이 있다는 점에서 다르다. "
아시아지역의 인권 제고 방안에 관한 연구,박경철,"독일연방헌법재판소는 EU법 우위를 인정하지 않았는데 그것은 EU가 유럽인권협약에 가입하지 않았으며, 기본조약에 포괄적 인권목록이 없다는 이유에서였다."
북한 민생용 에너지 문제 해결방안 연구,,북한에서 제정한 석탄법은 한국의 석탄산업법보다 광업법과 닮은 성향을 가지고 있으며 석탄의 탐사와 개발 그리고 이용 등의 내용으로 이루어져 있다.
한국관광정책(Korea Tourism Policy) 2017 가을호 (통권 69호),,"식사, 투약, 이동 등을 스스로 할 수 없는 고령의 노인과 장애인은 도우미를 찾지 못해 여행을 포기하는 경우가 많다. 그러나 이러한 제약은 여행 도우미를 통해 해결할 수 있다."
스마트기기 사용과 근로자의 삶,,제조업 및 주요 서비스 업종에 종사하는 남여 임금근로자를 대상으로 스마트기기 업무활용 설문결과를 보면 업무시간 이외 스마트기기를 통한 업무수행 유경험자들은 노동 업무량이 늘어나 근로자의 업무향상 효과가 줄어 업무성과를 떨어 뜨린다.
바이오 경제시대 과학기술정책 의제 연구사업 : 5년차,,오염되거나 잘못 분류된 HeLa 샘플은 미국에서 러시아까지 전달되어 다양한 분야의 연구실을 오염시켰고 아직까지도 바이오 연구계에 남긴 피해와 오류가 회복되지 못할만큼 큰 악영향을 남겼다. 
문화·관광 인사이트,최경은,"국제 스포츠 행사는 권력 주체들의 정치적 목적 달성 수단이 되고, 개최 후에는 유지비 등으로 많은 적자와 빚이 발생해 경제적 효과가 작은 것 등 부정적인 효과가 있다."
KDI 북한경제리뷰 2017년 10월,,"북한은 미사일과 핵으로 미국을 위협하고 있어 자국의 안전을 위해 해결의 명분이 크다. 또 중국을 견제하기 위한 일환이기도 하다. 이 밖에도 대만, 남중국해 문제도 있다."
2015 개정 교육과정에 따른 교과서 검정 심사 방안 탐색을 위한 워크숍,,"조사 결과, 교육 과정을 그대로 유지하거나 일부 항목을 수정하자는 의견이 많았다. 그러나 개정 교육 과정을 위한 새로운 항목이 필요하다는 전문가도 꽤 있었다."
2018년도 문화재위원회 제7차 동산문화재분과위원회 회의자료,문화재위원회,"[불사성공록]에서는 일련의 불사의 진행과정을 볼 수 있다. 집단제작의 효율성을 최대한 살려 방대한 불사를  끝내고 그 결과를 긍정적으로 기술한 뒤, 모든 생명들에게 축원하고 은해사에서 내려와 남장사에 와서 증사가 된 연유를 적고 있다."
창조 행정을 지향하는 행정포커스,,여가부는 일・가정 양립이 어려운 중소기업을 대상으로 인증을 확대할 예정이며 현재 제공되는 다양한 인센티브 이외에도 맞춤형 인센티브를 개발하는 등의 노력을 통해 가족친화경영에 동참하는 기업을 많이 만들겠습니다.
